smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2
CC1(C)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C)C,-131.51147,-26.16942,9.178319,142.132,151,2,-0.0019497895952535762,-0.3558324954346391
FCC1(CF)O[P-](F)(F)(F)(C)OC1(CF)CF,-136.48952,-23.241,8.16233,135.161,152,2,-0.08984092415811619,-0.6105321713945591
N#CC1(C#N)O[P-](F)(F)(O(C))(O(C))OC1(C#N)C#N,-109.59836,-32.98717,6.227468,166.863,153,1,0.5022835103173355,0.6587548198552093
N#CC1(C#N)O[P-](F)(F)(F)(N(=O)=O)OC1(C#N)C#N,-102.25482,-9.99484,2.679128,144.803,154,1,1.102272078261731,0.5700156182047079
FC(F)(F)[P-](F)(F)(F)(C(F)(F)F)C(F)(F)F,-109.72487,-72.47099,1.398962,69.2048,155,3,-1.6703342268979526,1.7113547225994383
C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF),-139.55276,-13.72991,12.209906,115.843667,156,2,-0.07203143826913333,-0.8825708833630417
FCC1(CF)O[P-](F)(F)(F)(F)OC1(CF)CF,-127.47855,-39.56043,2.907087,121.561667,157,0,-0.5256424486751233,0.14300294811110034
N#CC1(C#N)O[P-](F)(F)(CF)(CF)OC1(C#N)C#N,-109.63705,-19.85955,5.809601,161.155333,158,1,0.8290656388383869,0.407507156915237
N#CC1(C#N)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C#N)C#N,-90.60128,3.47352,4.324275,199.125,159,4,2.2984588577227623,0.6544826867086442
N#CC1(C#N)O[P-](F)(F)(F)(O(CF))OC1(C#N)C#N,-105.04249,-27.34412,2.767841,142.099,160,1,0.5064038456693468,0.8072975328707517
N#CC1(C#N)O[P-](F)(F)(F)(C(F)F)OC1(C#N)C#N,-100.81007,-25.12402,2.218103,140.72,161,1,0.6444040187844653,0.9483784814408214
O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-127.46412,-52.63336,4.895,86.013333,162,3,-1.276994686362279,0.5025425144294942
CC1(C)O[P-]2(F)(F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-150.52057,-36.10054,8.204335,229.785,163,2,0.21993199686543347,-1.208339753344314
FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF,-128.41055,-12.60561,13.713679,133.049667,164,2,0.36729402619866847,-0.47170432437404053
N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,-124.84786,-32.46053,7.098974,189.947,165,2,0.44297332293726926,-0.07007035944357856
CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,-125.63316,-13.23399,14.277394,194.716667,166,2,1.042085220362141,-0.5045536170349834
FC(F)[P-](F)(C(F)F)(C(F)F)(C(F)F)C(F)F,-117.35016,-42.15895,3.667231,124.097333,167,1,-0.368092491123686,0.6246129354972001
FCC1(CF)O[P-](F)(F)(F)(O(C))OC1(CF)CF,-136.797,-32.83384,6.80583,136.414667,168,2,-0.36562331979255797,-0.4335794287741994
