smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx
FCC1(CF)O[P-](F)(O(C))(O(C))(O(C))OC1(CF)CF,-148.68139,-11.48619,7.205789,181.431333,200
CC1(C)O[P-]2(F)(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,-155.67027,-33.79854,7.742842,250.844,201
O=P([O-])(OC(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)F,-127.40736,-39.28921,7.4077,89.999,202
N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C#N)C#N,-95.16605,-17.66481,1.407631,141.462,203
CC1(C)O[P-]2(F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-144.75759,-34.44192,7.195099,247.978667,204
FC(F)[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)C(F)F,-118.06688,-30.68033,4.297031,124.303,205
FCC1(CF)O[P-](F)(CF)(CF)(CF)OC1(CF)CF,-157.20585,-29.63348,7.388626,172.31,206
FCC1(CF)O[P-](O(C))(O(C))(O(C))(O(C))OC1(CF)CF,-161.75989,-30.35662,7.663356,204.251333,207
FC(F)(F)[P-](F)(F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F,-107.07667,-69.64458,1.937818,86.8038,208
FC(F)C1(C(F)F)O[P-](F)(F)(=O)OC1(C(F)F)C(F)F,-146.24138,-10.47409,14.029734,115.098,209
N#CC1(C#N)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,-92.90687,7.57564,3.939836,197.224667,210
FCC1(CF)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(CF)CF,-109.50885,-28.98416,7.0414,158.781333,211
CC1(C)O[P-]2(F)(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,-148.43117,-32.86818,8.686837,248.868333,212
FC(F)C1(C(F)F)O[P-](C)(C)(C)(C)OC1(C(F)F)C(F)F,-131.03191,-37.03568,4.042091,194.573,213
CC1(C)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,-112.86762,-32.80531,6.71219,193.867333,214
FCC1(CF)O[P-](CF)(CF)(CF)(CF)OC1(CF)CF,-130.82215,-24.15351,5.271656,202.230333,215
CC1(C)O[P-]2(F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-142.91641,-34.53512,7.997663,245.829,216
CC1(C)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,-141.87541,-1.02355,10.87648,155.392,217
