smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2,functionalgroupscorer,F_count,O_ether_count,NO2_count,CN_count,oxo_or_anion_count,H_count,scscore
FC(F)C1(C(F)F)O[P-](C)(C)(C)(C)OC1(C(F)F)C(F)F,-131.03191,-37.03568,4.042091,194.573,213,2,0.2290875643742351,-0.2563348206362323,-7.0,8,2,0,0,0,16,2.868225398883003
FCC1(CF)O[P-](CF)(CF)(CF)(CF)OC1(CF)CF,-130.82215,-24.15351,5.271656,202.230333,215,2,0.6916442262141098,-0.5277131534968278,-7.0,8,2,0,0,0,16,2.6039498779866266
CC1(C)O[P-]2(F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-142.91641,-34.53512,7.997663,245.829,216,2,0.5876355744105741,-0.9555557844262036,-18.0,4,4,0,0,0,24,2.64957077575017
CC1(C)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,-141.87541,-1.02355,10.87648,155.392,217,2,0.6624252081547064,-1.3447782287797332,-2.0,8,4,0,0,0,12,2.7417390850599945
FCC1(CF)O[P-](F)(F)(O(CF))(O(CF))OC1(CF)CF,-125.92077,-23.53615,8.635404,160.447,218,2,0.3792965884165165,-0.2173408154383314,-2.0,8,4,0,0,0,12,2.493363525854525
FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F,-143.2237,-21.88921,6.546831,175.669333,219,2,0.2297033655472077,-1.0361125152141573,-3.0,9,2,0,0,0,13,2.939832795103599
FC(F)C1(C(F)F)O[P-](F)(F)(C)(C)OC1(C(F)F)C(F)F,-135.90218,-16.27456,7.375359,152.654333,221,2,0.3077989634006579,-0.7726330488398272,1.0,10,2,0,0,0,10,3.1009040944610393
CC1(C)O[P-]2(O(CF))(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,-155.74379,-31.85001,6.659453,272.458667,222,2,0.678167806240021,-1.6331628405300815,-23.0,2,6,0,0,0,28,2.8030947536253534
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C)OC1(C(F)F)C(F)F,-140.24538,-11.76023,9.642283,130.420667,223,2,0.1221450493127838,-0.9911459834944208,5.0,11,2,0,0,0,7,2.751237389337652
N#CC1(C#N)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,-137.10836,-34.15005,7.673681,176.853667,225,2,0.0064900049881177,-0.5286785530076177,9.0,7,2,0,4,0,3,2.912089364185574
CC1(C)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,-129.24821,-28.00217,6.127052,181.813333,230,2,0.3999834277399581,-0.3276587992454847,-5.5,7,5,0,0,0,15,3.0119326415412746
FCC1(CF)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,-133.85106,-24.11976,7.734624,202.240667,234,2,0.6305759729048523,-0.6587993342301566,-0.5,5,2,3,0,0,8,2.9100149763279672
FCC1(CF)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(CF)CF,-147.81069,-18.07333,11.686153,176.121333,237,2,0.2525559916176642,-1.3117554200081614,-3.5,8,5,0,0,0,14,2.499283288427112
FC(F)C1(C(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)F)C(F)F,-131.05348,-40.80591,4.12481,153.241,242,2,-0.3088145770137555,-0.0705525461954313,2.0,10,4,0,0,0,10,2.925541275827692
FC(F)C1(C(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)F)C(F)F,-128.70046,-0.26104,12.334651,132.500667,243,2,0.7190948653699045,-0.7317762833527219,8.5,11,2,1,0,0,4,2.927918046631392
O=P([O-])(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,-140.1699,-19.46406,9.213892,117.526333,248,2,-0.2361459249761362,-0.7979481451498487,15.0,12,2,0,0,2,2,3.0277520569942675
CC1(C)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,-146.20047,-31.22992,8.227649,268.956333,249,2,0.8561624157995125,-1.2255118062532817,-19.0,4,6,0,0,0,26,3.0432021900715776
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C(F)F)OC1(C(F)F)C(F)F,-128.99944,2.94907,11.087871,128.065667,250,2,0.7617011502973005,-0.7975402968346229,9.0,13,2,0,0,0,5,2.9359089627143615
CC1(C)O[P-]2(C(F)(F)F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-127.28435,-33.46654,7.995519,262.081,252,2,1.1076315325060937,-0.3477483791112991,-16.0,6,4,0,0,0,24,2.833058543162772
FCC1(CF)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,-143.58285,20.94937,17.18889,228.670333,253,2,2.0303387945064406,-2.057758236918896,-1.0,4,2,4,0,0,8,2.628223904509813
CC1(C)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,-148.55588,-3.78774,8.538491,198.917667,258,2,0.8930332602575288,-1.6930803317108964,-5.0,8,6,0,0,0,16,3.055937092367073
FCC1(CF)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(CF)CF,-156.64806,-18.35971,7.03533,199.054333,259,2,0.299362149328339,-1.7477667660445724,-5.0,8,6,0,0,0,16,2.7462038491794107
FC(F)C1(C(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)F)C(F)F,-125.56988,-28.28923,5.775089,201.385333,260,2,0.668975613824496,-0.2159285881000009,-5.0,8,6,0,0,0,16,2.941748839558096
CC1(C)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,-131.21721,-28.03822,9.879952,266.875,273,2,1.2361803968794958,-0.6393903039810239,-15.0,6,6,0,0,0,24,3.010617735153903
FCC1(CF)O[P-]2(F)(F)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-145.06692,-0.88344,8.535788,211.043667,281,2,1.1752617903019182,-1.633957493370292,-4.0,10,4,0,0,0,16,2.721451871244512
FCC1(CF)O[P-]2(F)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-132.91766,-20.10057,12.680952,229.778333,286,2,1.0521917933584266,-0.7734289134053419,-4.0,9,4,0,1,0,16,2.631327933510472
FCC1(CF)O[P-]2(F)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-150.09557,0.08526,8.941043,230.061,291,2,1.2967886236248256,-1.920865178869047,-6.0,10,4,0,0,0,18,2.4430540332647226
